SampleID	Name	Plant_ID	Type	Experiment	Cohort	Harvested	Age	Site	Treatment	Line	Genotype	Block	oldPlate	newPlate	Analysis
M1024P1788	R_026.root	R_026	root	fieldBCMA	2008	2011	3	LTM	field	26	ril	NA	t01t02	M1024	BCMA
M1024P1791	R_073.root	R_073	root	fieldBCMA	2008	2011	3	LTM	field	73	ril	NA	t01t02	M1024	BCMA
M1024P1795	R_088.root	R_088	root	fieldBCMA	2009	2011	2	LTM	field	88	ril	NA	t01t02	M1024	BCMA
M1024P1807	R_156.root	R_156	root	fieldBCMA	2009	2011	2	LTM	field	156	ril	NA	t01t02	M1024	BCMA
M1955P804	1_A_1.root	1_A_1	root	ecoGH	NA	2011	NA	Duke	MAHsoil	par10A6	PAR	b01	p208	M1955	Ecotypes
M1956P837	1_A_12.root	1_A_12	root	ecoGH	NA	2011	NA	Duke	MAHsoil	mah38B	MAH	b01	p209	M1956	Ecotypes
M1957P983	1_A_3.root	1_A_3	root	ecoGH	NA	2011	NA	Duke	MAHsoil	silLow3	SIL	b01	p210	M1957	Ecotypes
M1956P845	1_A_4.root	1_A_4	root	ecoGH	NA	2011	NA	Duke	MAHsoil	par10A6	PAR	b01	p209	M1956	Ecotypes
M1957P987	1_A_7.root	1_A_7	root	ecoGH	NA	2011	NA	Duke	MAHsoil	par9A2	PAR	b01	p210	M1957	Ecotypes
M1957P923	1_A_8.root	1_A_8	root	ecoGH	NA	2011	NA	Duke	MAHsoil	mil54A	MIL	b01	p210	M1957	Ecotypes
M1690P1388	1_B_1.root	1_B_1	root	ecoGH	NA	2011	NA	Duke	MAHsoil	mil54A	MIL	b01	p215	M1690	Ecotypes
M1959P1163	1_B_11.root	1_B_11	root	ecoGH	NA	2011	NA	Duke	MAHsoil	silUpp2B	SIL	b01	p212	M1959	Ecotypes
M1958P1029	1_B_3.root	1_B_3	root	ecoGH	NA	2011	NA	Duke	MAHsoil	mah8A1	MAH	b01	p211	M1958	Ecotypes
M1956P882	1_B_5.root	1_B_5	root	ecoGH	NA	2011	NA	Duke	MAHsoil	mah16A	MAH	b01	p209	M1956	Ecotypes
M1956P918	1_B_6.root	1_B_6	root	ecoGH	NA	2011	NA	Duke	MAHsoil	mah48A	MAH	b01	p209	M1956	Ecotypes
M1958P1061	1_B_8.root	1_B_8	root	ecoGH	NA	2011	NA	Duke	MAHsoil	mah16A	MAH	b01	p211	M1958	Ecotypes
M1959P1176	1_C_1.root	1_C_1	root	ecoGH	NA	2011	NA	Duke	MAHsoil	silLow6B	SIL	b01	p212	M1959	Ecotypes
M1690P1408	1_C_10.soil	1_C_10	soil	ecoGH	NA	2011	NA	Duke	MAHsoil	soil	soil	b01	p215	M1690	Ecotypes
M1955P797	1_C_11.root	1_C_11	root	ecoGH	NA	2011	NA	Duke	MAHsoil	par22A2	PAR	b01	p208	M1955	Ecotypes
M1960P1248	1_C_12.root	1_C_12	root	ecoGH	NA	2011	NA	Duke	MAHsoil	mah48A	MAH	b01	p213	M1960	Ecotypes
M1957P1011	1_C_2.root	1_C_2	root	ecoGH	NA	2011	NA	Duke	MAHsoil	silLow2	SIL	b01	p210	M1957	Ecotypes
M1958P1047	1_C_3.root	1_C_3	root	ecoGH	NA	2011	NA	Duke	MAHsoil	par22A2	PAR	b01	p211	M1958	Ecotypes
M1958P1084	1_C_4.root	1_C_4	root	ecoGH	NA	2011	NA	Duke	MAHsoil	mil70A	MIL	b01	p211	M1958	Ecotypes
M1955P821	1_C_5.root	1_C_5	root	ecoGH	NA	2011	NA	Duke	MAHsoil	jam22A	JAM	b01	p208	M1955	Ecotypes
M1956P838	1_D_10.root	1_D_10	root	ecoGH	NA	2011	NA	Duke	MAHsoil	mil54A	MIL	b01	p209	M1956	Ecotypes
M1961P1367	1_D_11.root	1_D_11	root	ecoGH	NA	2011	NA	Duke	MAHsoil	silLow3	SIL	b01	p214	M1961	Ecotypes
M1960P1221	1_D_5.root	1_D_5	root	ecoGH	NA	2011	NA	Duke	MAHsoil	silLow6B	SIL	b01	p213	M1960	Ecotypes
M1956P886	1_D_6.root	1_D_6	root	ecoGH	NA	2011	NA	Duke	MAHsoil	silLow2	SIL	b01	p209	M1956	Ecotypes
